Date,Đóng cửa,Log-return 
8/7/2024,23.3000,0.21482
8/8/2024,23.3500,0.21436
8/9/2024,23.3500,0.00000
8/12/2024,23.5000,0.64034
8/13/2024,23.6000,0.42463
8/14/2024,23.6000,0.00000
8/15/2024,24.3000,2.92296
8/16/2024,24.5500,1.02355
8/19/2024,24.5500,0.00000
8/20/2024,24.8000,1.01318
8/21/2024,24.7000,-0.40404
8/22/2024,25.0500,1.40706
8/23/2024,25.0500,0.00000
8/26/2024,24.4000,-2.62907
8/27/2024,24.6000,0.81633
8/28/2024,24.4000,-0.81633
8/29/2024,24.2500,-0.61665
8/30/2024,24.2500,0.00000
9/4/2024,23.9500,-1.24483
9/5/2024,23.8000,-0.62827
9/6/2024,23.8000,0.00000
9/9/2024,23.6000,-0.84389
9/10/2024,23.4000,-0.85107
9/11/2024,22.9500,-1.94181
9/12/2024,22.5000,-1.98026
9/13/2024,22.8500,1.54358
9/16/2024,22.5000,-1.54358
9/17/2024,22.6000,0.44346
9/18/2024,22.7500,0.66152
9/19/2024,22.8000,0.21954
9/20/2024,22.8000,0.00000
9/23/2024,22.7000,-0.43956
9/24/2024,22.8000,0.43956
9/25/2024,22.8000,0.00000
9/26/2024,22.7500,-0.21954
9/27/2024,22.7500,0.00000
9/30/2024,22.7500,0.00000
10/1/2024,23.9500,5.14032
10/2/2024,23.4000,-2.32323
10/3/2024,21.3000,-9.40289
10/4/2024,21.5500,1.16687
10/7/2024,21.5000,-0.23229
10/8/2024,21.5000,0.00000
10/9/2024,21.5000,0.00000
10/10/2024,21.3500,-0.70012
10/11/2024,21.2000,-0.70506
10/14/2024,21.3000,0.47059
10/15/2024,21.2000,-0.47059
10/16/2024,21.0000,-0.94787
10/17/2024,20.9500,-0.23838
10/18/2024,21.0000,0.23838
10/21/2024,21.0000,0.00000
10/22/2024,20.6500,-1.68071
10/23/2024,20.7000,0.24184
10/24/2024,20.4500,-1.21508
10/25/2024,20.0000,-2.22506
10/28/2024,20.9000,4.40169
10/29/2024,21.5000,2.83038
10/30/2024,21.2500,-1.16960
10/31/2024,21.2000,-0.23557
11/1/2024,20.9500,-1.18625
11/4/2024,20.8000,-0.71857
11/5/2024,20.8000,0.00000
11/6/2024,20.9000,0.47962
11/7/2024,20.7500,-0.72029
11/8/2024,20.8500,0.48077
11/11/2024,20.5000,-1.69291
11/12/2024,20.5000,0.00000
11/13/2024,20.3000,-0.98040
11/14/2024,20.2000,-0.49383
11/15/2024,20.3000,0.49383
11/18/2024,20.3500,0.24600
11/19/2024,20.2500,-0.49261
11/20/2024,20.1500,-0.49505
11/21/2024,20.2000,0.24783
11/22/2024,20.1500,-0.24783
11/25/2024,20.5500,1.96567
11/26/2024,20.5000,-0.24361
11/27/2024,20.5000,0.00000
11/28/2024,20.3500,-0.73440
11/29/2024,21.2500,4.32760
12/2/2024,20.8500,-1.90029
12/3/2024,21.5000,3.06990
12/4/2024,21.1500,-1.64130
12/5/2024,21.3000,0.70672
12/6/2024,21.2500,-0.23502
12/9/2024,21.2000,-0.23557
12/10/2024,21.1500,-0.23613
12/11/2024,21.1000,-0.23669
12/12/2024,20.8500,-1.19191
12/13/2024,21.0000,0.71685
12/16/2024,20.8500,-0.71685
12/17/2024,20.8500,0.00000
12/18/2024,20.9000,0.23952
12/19/2024,20.9000,0.00000
12/20/2024,21.4000,2.36418
12/23/2024,21.9500,2.53762
12/24/2024,21.5000,-2.07142
12/25/2024,21.6000,0.46404
12/26/2024,21.7500,0.69204
12/27/2024,21.4500,-1.38891
12/30/2024,21.2500,-0.93678
12/31/2024,21.0000,-1.18345
